Genome,vOTU ID,ClusterStatus,VCStatus,contig_length,provirus,proviral_length,gene_count,viral_genes,host_genes,checkv_quality,miuvig_quality,completeness,completeness_method,contamination,kmer_freq,warnings,clstr,clstr_size,length,clstr_rep,clstr_iden,clstr_cov,Phylum,Class,Order,Family,Genus,ICTV_Phylum,ICTV_Class,ICTV_Order,ICTV_Family,ICTV_Genus,SampleID,SampleName,Cyanobacterial Order,Cyanobacterial Family,Cyanobacterial Genus,Cyanobacterial Speices,Strain,BioProject,SRA Accession No.,JGI IMGD No.,Reported Habitat,Habitat,Substrate,Location
TC32_NODE_5_length_1149355_cov_47.716533_fragment_7,vOTU435,Clustered,1453_0,9941,No,NA,12,5,0,Low-quality,Genome-fragment,12.38,HMM-based (lower-bound),0,1,NA,573,1,9941,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC32,Oscillatoria tanganyikae FI6-MK23,Oscillatoriales,Oscillatoriaceae,Oscillatoria,Oscillatoria tanganyikae,FI6-MK23,PRJNA621665,SRR11678132,3300035010,Desert soil,Desert,soil,"California, USA"
TC29_NODE_47_length_416090_cov_2.838178_fragment_4,vOTU386,Clustered,946_0,32201,Yes,24836,41,19,5,Low-quality,Genome-fragment,30.32,HMM-based (lower-bound),22.87,1,NA,281,1,24836,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC29,Nostoc desertorum CM1-VF14,Nostocales,Nostocaceae,Nostoc,Nostoc desertorum,CM1-VF14,PRJNA617101,SRR12349250,3300036444,Desert soil,Desert,soil,"California, USA"
TC12_NODE_60_length_188617_cov_283.509714_fragment_3,vOTU73,Clustered,1109_0,25018,No,NA,33,17,0,Low-quality,Genome-fragment,36.1,HMM-based (lower-bound),0,1,NA,279,1,25018,1,100,100%,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC12,Desmonostoc geniculatum HA4340-LM1,Nostocales,Nostocaceae,Desmonostoc,Desmonostoc geniculatum,HA4340-LM1,PRJNA621655,SRR11676647,3300035000,Cave rock wall,Cave,rock wall,"Hawaii, USA"
TC16_NODE_281_length_5122_cov_40.560961,vOTU127,Unclustered,Unclustered,5122,No,NA,5,0,1,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,710,1,5122,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC16,Goleter apudmare HA4340-LM2,Nostocales,Nostocaceae,Goleter,Goleter apudmare,HA4340-LM2,PRJNA621659,SRR11676930,3300035004,Cave rock wall,Cave,rock wall,"Hawaii, USA"
TC21_NODE_778_length_9445_cov_1.307899,vOTU266,Clustered,1010_0,9445,No,NA,14,1,0,Low-quality,Genome-fragment,14.13,HMM-based (lower-bound),0,1,NA,591,1,9445,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC21,Kastovskya adunca ATA6-11-RM4,Oscillatoriales,Coleofasciculaceae,Kastovskya,Kastovskya adunca,ATA6-11-RM4,PRJNA621676,SRR11678224,3300034631,Desert soil,Desert,soil,"Atacama, Chile"
TC38_NODE_164_length_24167_cov_1.355158,vOTU481,Clustered,7_0,24167,No,NA,33,16,1,Low-quality,Genome-fragment,43.15,HMM-based (lower-bound),0,1,NA,289,1,24167,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC38,Scytolyngbya sp. HA4215-MV1,Pseudanabaenales,Leptolyngbyaceae,Scytolyngbya,Scytolyngbya sp.,HA4215-MV1,PRJNA617105,SRR12349737,3300036104,Freshwater stream,Aquatic,water,"Hawaii, USA"
TC18_NODE_3_length_923199_cov_12.620061_fragment_3,vOTU142,Unclustered,Unclustered,46649,Yes,43530,60,10,4,Medium-quality,Genome-fragment,56.57,HMM-based (lower-bound),6.69,1,NA,104,1,43530,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC18,Hormoscilla sp. CMT-3BRIN-NPC48,Oscillatoriales,Gomontiellaceae,Hormoscilla,Hormoscilla sp.,CMT-3BRIN-NPC48,PRJNA650881,SRR12951525,3300038553,Desert soil,Desert,soil,"California, USA"
TC25_k99_2964,vOTU328,Unclustered,Unclustered,40736,No,NA,59,28,0,Medium-quality,Genome-fragment,84.66,HMM-based (lower-bound),0,1,NA,136,2,40736,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC25,Mojavia pulchra JT2-VF2,Nostocales,Nostocaceae,Mojavia,Mojavia pulchra,JT2-VF2,PRJNA650826,SRR12951532,3300038557,Desert soil,Desert,soil,"California, USA"
TC22_k99_27017_fragment_1,vOTU284,Clustered,187_0,44694,Yes,38794,52,21,4,Medium-quality,Genome-fragment,83.83,HMM-based (lower-bound),13.2,1,NA,161,1,38794,1,100,100%,Uroviricota,Caudoviricetes,Unclassified,Unclassified,Bcepmuvirus,Uroviricota,Caudoviricetes,Unclassified,Unclassified,Bcepmuvirus,TC22,Komarekiella atlantica HA4396-MV6,Nostocales,Nostocaceae,Komarekiella,Komarekiella atlantica,HA4396-MV6,PRJNA650825,SRR12951531,3300038556,Tropical vernal pool,Tropics,water,"Hawaii, USA"
TC30_NODE_2_length_2539971_cov_38.752415_fragment_26,vOTU373,Unclustered,Unclustered,80869,Yes,68484,106,40,9,Medium-quality,Genome-fragment,85.23,HMM-based (lower-bound),15.31,1,NA,18,4,68484,0,100.00%,99%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC30,Nostoc indistinguendum CM1-VF10,Nostocales,Nostocaceae,Nostoc,Nostoc indistinguendum,CM1-VF10,PRJNA621666,SRR11678133,3300035011,Desert soil,Desert,soil,"California, USA"
TC30_NODE_2_length_2539971_cov_38.752415_fragment_24,vOTU397,Clustered,1050_0,78694,Yes,56565,113,22,11,Complete,High-quality,100,Provirus (medium-confidence),28.12,1,NA,43,1,56565,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC30,Nostoc indistinguendum CM1-VF10,Nostocales,Nostocaceae,Nostoc,Nostoc indistinguendum,CM1-VF10,PRJNA621666,SRR11678133,3300035011,Desert soil,Desert,soil,"California, USA"
TC30_NODE_2_length_2539971_cov_38.752415_fragment_8,vOTU398,Clustered,714_0,16810,No,NA,20,11,2,Low-quality,Genome-fragment,31.08,HMM-based (lower-bound),0,1,NA,405,2,16810,1,100,100%,Mixed,Mixed,Mixed,Mixed,Unclassified,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC30,Nostoc indistinguendum CM1-VF10,Nostocales,Nostocaceae,Nostoc,Nostoc indistinguendum,CM1-VF10,PRJNA621666,SRR11678133,3300035011,Desert soil,Desert,soil,"California, USA"
TC30_NODE_2_length_2539971_cov_38.752415_fragment_13,vOTU396,Unclustered,Unclustered,18752,Yes,8586,20,3,5,Low-quality,Genome-fragment,11.56,HMM-based (lower-bound),54.21,1,NA,613,3,8586,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC30,Nostoc indistinguendum CM1-VF10,Nostocales,Nostocaceae,Nostoc,Nostoc indistinguendum,CM1-VF10,PRJNA621666,SRR11678133,3300035011,Desert soil,Desert,soil,"California, USA"
TC13_NODE_509_length_5513_cov_2.150576,vOTU82,Clustered,304_0,5513,No,NA,8,7,0,Complete,High-quality,100,DTR (high-confidence),0,1.02,NA,692,1,5513,1,100,100%,Phixviricota,Malgrandaviricetes,Petitvirales,Microviridae,Sinsheimervirus,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC13,Desmonostoc vinosum HA7617-LM4,Nostocales,Nostocaceae,Desmonostoc,Desmonostoc vinosum,HA7617-LM4,PRJNA650882,SRR12951526,3300038554,Cave rock wall,Cave,rock wall,"Hawaii, USA"
TC29_NODE_2_length_2015733_cov_3.617248_fragment_26,vOTU366,Unclustered,Unclustered,42059,No,NA,70,21,1,Low-quality,Genome-fragment,49.67,HMM-based (lower-bound),0,1,NA,119,2,42059,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC29,Nostoc desertorum CM1-VF14,Nostocales,Nostocaceae,Nostoc,Nostoc desertorum,CM1-VF14,PRJNA617101,SRR12349250,3300036444,Desert soil,Desert,soil,"California, USA"
TC29_NODE_2_length_2015733_cov_3.617248_fragment_3,vOTU368,Unclustered,Unclustered,10142,No,NA,8,0,4,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,570,1,10142,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC29,Nostoc desertorum CM1-VF14,Nostocales,Nostocaceae,Nostoc,Nostoc desertorum,CM1-VF14,PRJNA617101,SRR12349250,3300036444,Desert soil,Desert,soil,"California, USA"
TC29_NODE_2_length_2015733_cov_3.617248_fragment_16,vOTU365,Unclustered,Unclustered,18102,No,NA,30,1,3,Low-quality,Genome-fragment,10.1,HMM-based (lower-bound),0,1,NA,374,1,18102,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC29,Nostoc desertorum CM1-VF14,Nostocales,Nostocaceae,Nostoc,Nostoc desertorum,CM1-VF14,PRJNA617101,SRR12349250,3300036444,Desert soil,Desert,soil,"California, USA"
TC29_NODE_2_length_2015733_cov_3.617248_fragment_1,vOTU363,Unclustered,Unclustered,53437,No,NA,70,24,3,Medium-quality,Genome-fragment,83.8,HMM-based (lower-bound),0,1,NA,45,2,53437,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC29,Nostoc desertorum CM1-VF14,Nostocales,Nostocaceae,Nostoc,Nostoc desertorum,CM1-VF14,PRJNA617101,SRR12349250,3300036444,Desert soil,Desert,soil,"California, USA"
TC29_NODE_2_length_2015733_cov_3.617248_fragment_14,vOTU364,Unclustered,Unclustered,12300,No,NA,11,0,0,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,516,1,12300,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC29,Nostoc desertorum CM1-VF14,Nostocales,Nostocaceae,Nostoc,Nostoc desertorum,CM1-VF14,PRJNA617101,SRR12349250,3300036444,Desert soil,Desert,soil,"California, USA"
TC29_NODE_2_length_2015733_cov_3.617248_fragment_27,vOTU367,Unclustered,Unclustered,20797,Yes,16652,23,4,2,Low-quality,Genome-fragment,14.9,HMM-based (lower-bound),19.93,1,NA,412,2,16652,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC29,Nostoc desertorum CM1-VF14,Nostocales,Nostocaceae,Nostoc,Nostoc desertorum,CM1-VF14,PRJNA617101,SRR12349250,3300036444,Desert soil,Desert,soil,"California, USA"
TC36_NODE_179_length_40445_cov_1.485441_fragment_1,vOTU460,Unclustered,Unclustered,26852,No,NA,41,6,1,Low-quality,Genome-fragment,39.52,HMM-based (lower-bound),0,1,NA,269,1,26852,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC36,Pleurocapsa minor GSE-CHR-MK-17-07R,Pleurocapsales,Hyellaceae,Pleurocapsa,Pleurocapsa minor,GSE-CHR-MK-17-07R,PRJNA677054,SRR13207074,3300039304,Desert wet wall,Desert,rock wall,"Utah, USA"
TC7_NODE_432_length_18205_cov_1.408950,vOTU660,Clustered,1463_0,18205,Yes,14387,33,5,3,Low-quality,Genome-fragment,12.62,HMM-based (lower-bound),20.97,1,NA,459,1,14387,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC7,Brasilonema octagenarum HA4186-MV1,Nostocales,Scytonemataceae,Brasilonema,Brasilonema octagenarum,HA4186-MV1,PRJNA621669,SRR11678155,3300035014,On wood in tropics,Tropics,wood,"Hawaii, USA"
TC24_NODE_34_length_424314_cov_2.316250_fragment_6,vOTU312,Clustered,714_0,16593,No,NA,21,11,0,Low-quality,Genome-fragment,30.5,HMM-based (lower-bound),0,1,NA,413,1,16593,1,100,100%,Mixed,Mixed,Mixed,Mixed,Unclassified,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC24,Microcoleus vaginatus WJT46-NPBG5,Oscillatoriales,Microcoleus,Microcoleus,Microcoleus vaginatus,WJT46-NPBG5,PRJNA677056,SRR13207170,3300039305,Desert soil,Desert,soil,"California, USA"
TC31_NODE_2027_length_5137_cov_0.890619,vOTU415,Unclustered,Unclustered,5137,No,NA,6,3,0,Low-quality,Genome-fragment,8.16,HMM-based (lower-bound),0,1,NA,708,1,5137,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC31,Oscillatoria princeps RMCB-10,Oscillatoriales,Oscillatoriaceae,Oscillatoria,Oscillatoria princeps,RMCB-10,PRJNA621670,SRR11678154,3300035015,Surface water,Aquatic,water,"Lower Austria, Austria"
TC16_NODE_18_length_336079_cov_81.060524_fragment_1,vOTU121,Clustered,973_0,18256,No,NA,29,11,0,Low-quality,Genome-fragment,19.49,HMM-based (lower-bound),0,1,NA,371,2,18256,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC16,Goleter apudmare HA4340-LM2,Nostocales,Nostocaceae,Goleter,Goleter apudmare,HA4340-LM2,PRJNA621659,SRR11676930,3300035004,Cave rock wall,Cave,rock wall,"Hawaii, USA"
TC16_NODE_18_length_336079_cov_81.060524_fragment_8,vOTU122,Unclustered,Unclustered,23026,No,NA,39,16,0,Medium-quality,Genome-fragment,51.11,HMM-based (lower-bound),0,1,NA,307,2,23026,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC16,Goleter apudmare HA4340-LM2,Nostocales,Nostocaceae,Goleter,Goleter apudmare,HA4340-LM2,PRJNA621659,SRR11676930,3300035004,Cave rock wall,Cave,rock wall,"Hawaii, USA"
TC29_NODE_62_length_374518_cov_18.075963_fragment_6,vOTU438,Unclustered,Unclustered,79910,No,NA,126,34,7,Medium-quality,Genome-fragment,84.84,HMM-based (lower-bound),0,1,NA,13,3,79910,0,100.00%,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC29,Nostoc desertorum CM1-VF14,Nostocales,Nostocaceae,Nostoc,Nostoc desertorum,CM1-VF14,PRJNA617101,SRR12349250,3300036444,Desert soil,Desert,soil,"California, USA"
TC36_NODE_30_length_339274_cov_2.169696_fragment_2,vOTU462,Clustered,727_0,21736,Yes,15861,28,7,5,Low-quality,Genome-fragment,25.48,HMM-based (lower-bound),27.03,1,NA,423,1,15861,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC36,Pleurocapsa minor GSE-CHR-MK-17-07R,Pleurocapsales,Hyellaceae,Pleurocapsa,Pleurocapsa minor,GSE-CHR-MK-17-07R,PRJNA677054,SRR13207074,3300039304,Desert wet wall,Desert,rock wall,"Utah, USA"
TC5_NODE_19_length_351014_cov_1.745727_fragment_1,vOTU624,Unclustered,Unclustered,14405,No,NA,15,1,1,Low-quality,Genome-fragment,31.69,HMM-based (lower-bound),0,1,NA,457,1,14405,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC5,Aphanothece sp. CMT-3BRIN-NPC111,Chroococcales,Aphanothecaceae,Aphanothece,Aphanothece sp.,CMT-3BRIN-NPC111,PRJNA617094,SRR12347633,3300036407,Desert soil,Desert,soil,"California, USA"
TC39_NODE_356_length_33582_cov_1.466687_fragment_1,vOTU500,Unclustered,Unclustered,9864,No,NA,14,3,0,Low-quality,Genome-fragment,4.78,HMM-based (lower-bound),0,1,NA,578,1,9864,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC39,Scytonema hyalinum WJT4-NPBG1,Nostocales,Scytonemataceae,Scytonema,Scytonema hyalinum,WJT4-NPBG1,PRJNA617106,SRR12349874,3300036520,Desert soil,Desert,soil,"California, USA"
TC31_NODE_14_length_630909_cov_2.214919_fragment_3,vOTU408,Clustered,1458_0,15939,No,NA,18,6,0,Low-quality,Genome-fragment,21.62,HMM-based (lower-bound),0,1,NA,419,1,15939,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC31,Oscillatoria princeps RMCB-10,Oscillatoriales,Oscillatoriaceae,Oscillatoria,Oscillatoria princeps,RMCB-10,PRJNA621670,SRR11678154,3300035015,Surface water,Aquatic,water,"Lower Austria, Austria"
TC23_NODE_280_length_22626_cov_3.223210,vOTU301,Unclustered,Unclustered,22626,No,NA,19,1,4,Low-quality,Genome-fragment,29.64,HMM-based (lower-bound),0,1.01,NA,309,1,22626,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC23,Lyngbya sp. HA4199-MV5,Oscillatoriales,Oscillatoriaceae,Lyngbya,Lyngbya sp.,HA4199-MV5,PRJNA621654,SRR11676618,3300034630,Tropical soil,Tropics,soil,"Hawaii, USA"
TC39_NODE_1055_length_5848_cov_0.709841,vOTU490,Unclustered,Unclustered,5848,No,NA,9,3,0,Low-quality,Genome-fragment,9.56,HMM-based (lower-bound),0,1,NA,683,1,5848,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC39,Scytonema hyalinum WJT4-NPBG1,Nostocales,Scytonemataceae,Scytonema,Scytonema hyalinum,WJT4-NPBG1,PRJNA617106,SRR12349874,3300036520,Desert soil,Desert,soil,"California, USA"
TC43_NODE_105_length_128799_cov_19.322906_fragment_1,vOTU539,Unclustered,Unclustered,58668,No,NA,83,33,2,High-quality,High-quality,92.1,HMM-based (lower-bound),0,1,NA,33,1,58668,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC43,Symplocastrum torsivum CPER-KK1,Oscillatoriales,Microcoleaceae,Symplocastrum,Symplocastrum torsivum,CPER-KK1,PRJNA617108,SRR12350505,3300036521,Grassland soil,Grassland,soil,"Colorado, USA"
TC31_NODE_1206_length_7247_cov_1.132584,vOTU406,Unclustered,Unclustered,7247,No,NA,8,1,0,Low-quality,Genome-fragment,9.49,HMM-based (lower-bound),0,1,NA,644,1,7247,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC31,Oscillatoria princeps RMCB-10,Oscillatoriales,Oscillatoriaceae,Oscillatoria,Oscillatoria princeps,RMCB-10,PRJNA621670,SRR11678154,3300035015,Surface water,Aquatic,water,"Lower Austria, Austria"
TC42_NODE_259_length_47336_cov_2.494588,vOTU528,Unclustered,Unclustered,47336,No,NA,57,17,4,Medium-quality,Genome-fragment,70.96,HMM-based (lower-bound),0,1,NA,74,1,47336,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC42,Stenomitos rutilans HA7619-LM2,Pseudanabaenales,Leptolyngbyaceae,Stenomitos,Stenomitos rutilans,HA7619-LM2,PRJNA617107,SRR12350322,3300036446,Cave rock wall,Cave,rock wall,"Hawaii, USA"
TC43_NODE_29_length_394088_cov_19.543262_fragment_4,vOTU548,Clustered,1483_0,49490,No,NA,47,0,14,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,66,3,49490,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC43,Symplocastrum torsivum CPER-KK1,Oscillatoriales,Microcoleaceae,Symplocastrum,Symplocastrum torsivum,CPER-KK1,PRJNA617108,SRR12350505,3300036521,Grassland soil,Grassland,soil,"Colorado, USA"
TC1_NODE_338_length_41068_cov_10.513446,vOTU13,Clustered,346_0,41068,No,NA,56,19,1,Medium-quality,Genome-fragment,80.3,HMM-based (lower-bound),0,1,NA,131,1,41068,1,100,100%,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Unclassified,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC1,Aetokthonos hydrillicola B3-Florida,Nostocales,Hapalosiphonaceae,Aetokthonos,Aetokthonos hydrillicola,B3-Florida,PRJNA617093,SRR12347192,3300036376,Aquatic epiphyte,Aquatic,plant,"South Carolina, USA"
TC12_NODE_31_length_298929_cov_2.733697_fragment_1,vOTU65,Unclustered,Unclustered,42495,No,NA,59,19,0,Medium-quality,Genome-fragment,64.61,HMM-based (lower-bound),0,1,NA,111,1,42495,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC12,Desmonostoc geniculatum HA4340-LM1,Nostocales,Nostocaceae,Desmonostoc,Desmonostoc geniculatum,HA4340-LM1,PRJNA621655,SRR11676647,3300035000,Cave rock wall,Cave,rock wall,"Hawaii, USA"
TC9_NODE_36_length_475522_cov_72.033383_fragment_1,vOTU694,Unclustered,Unclustered,58928,No,NA,68,11,2,Medium-quality,Genome-fragment,88.51,HMM-based (lower-bound),0,1,NA,32,2,58928,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC9,Chroococcus sp. CMT-3BRIN-NPC107,Chroococcales,Chroococcaceae,Chroococcus,Chroococcus sp.,CMT-3BRIN-NPC107,PRJNA653492,SRR12688413,3300037833,Desert soil,Desert,soil,"California, USA"
TC21_NODE_49_length_218453_cov_187.899655_fragment_1,vOTU258,Unclustered,Unclustered,13090,No,NA,9,0,4,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,490,1,13090,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC21,Kastovskya adunca ATA6-11-RM4,Oscillatoriales,Coleofasciculaceae,Kastovskya,Kastovskya adunca,ATA6-11-RM4,PRJNA621676,SRR11678224,3300034631,Desert soil,Desert,soil,"Atacama, Chile"
TC21_NODE_49_length_218453_cov_187.899655_fragment_2,vOTU259,Unclustered,Unclustered,53272,No,NA,62,11,1,Medium-quality,Genome-fragment,88.37,HMM-based (lower-bound),0,1,NA,48,1,53272,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC21,Kastovskya adunca ATA6-11-RM4,Oscillatoriales,Coleofasciculaceae,Kastovskya,Kastovskya adunca,ATA6-11-RM4,PRJNA621676,SRR11678224,3300034631,Desert soil,Desert,soil,"Atacama, Chile"
TC7_NODE_609_length_8493_cov_1.230337,vOTU129,Unclustered,Unclustered,8493,No,NA,12,4,0,Low-quality,Genome-fragment,12.81,HMM-based (lower-bound),0,1,NA,96,2,8493,0,99.98%,19%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC7,Brasilonema octagenarum HA4186-MV1,Nostocales,Scytonemataceae,Brasilonema,Brasilonema octagenarum,HA4186-MV1,PRJNA621669,SRR11678155,3300035014,On wood in tropics,Tropics,wood,"Hawaii, USA"
TC41_NODE_126_length_64850_cov_1.873893_fragment_1,vOTU517,Clustered,1434_0,12560,No,NA,14,5,0,Low-quality,Genome-fragment,25.41,HMM-based (lower-bound),0,1,NA,506,1,12560,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC41,Spirirestis rafaelensis WJT71-NPBG6,Nostocales,Tolypothrichaceae,Spirirestis,Spirirestis rafaelensis,WJT71-NPBG6,PRJNA683097,SRR13242887,3300042538,Desert soil,Desert,soil,"California, USA"
TC2_NODE_1380_length_5418_cov_1.051408,vOTU185,Clustered,1442_0,5418,No,NA,10,6,0,Low-quality,Genome-fragment,9.1,HMM-based (lower-bound),0,1,NA,695,1,5418,1,100,100%,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC2,Aphanocapsa lilacina HA4352-LM1,Synechococcales,Merismopediaceae,Aphanocapsa,Aphanocapsa lilacina,HA4352-LM1,PRJNA677053,SRR13206895,3300039303,Cave rock wall,Cave,rock wall,"Hawaii, USA"
TC36_NODE_1293_length_6635_cov_0.883835,vOTU335,Clustered,189_0,6635,No,NA,7,3,0,Low-quality,Genome-fragment,9.8,HMM-based (lower-bound),0,1,NA,247,2,6635,0,99.83%,22%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC36,Pleurocapsa minor GSE-CHR-MK-17-07R,Pleurocapsales,Hyellaceae,Pleurocapsa,Pleurocapsa minor,GSE-CHR-MK-17-07R,PRJNA677054,SRR13207074,3300039304,Desert wet wall,Desert,rock wall,"Utah, USA"
TC18_NODE_355_length_6784_cov_1.514196,vOTU144,Unclustered,Unclustered,6784,No,NA,9,1,0,Low-quality,Genome-fragment,12.03,HMM-based (lower-bound),0,1,NA,657,1,6784,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC18,Hormoscilla sp. CMT-3BRIN-NPC48,Oscillatoriales,Gomontiellaceae,Hormoscilla,Hormoscilla sp.,CMT-3BRIN-NPC48,PRJNA650881,SRR12951525,3300038553,Desert soil,Desert,soil,"California, USA"
TC25_k99_10448,vOTU248,Unclustered,Unclustered,31215,No,NA,44,15,0,Low-quality,Genome-fragment,40.38,HMM-based (lower-bound),0,1,NA,236,2,31215,0,100.00%,99%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC25,Mojavia pulchra JT2-VF2,Nostocales,Nostocaceae,Mojavia,Mojavia pulchra,JT2-VF2,PRJNA650826,SRR12951532,3300038557,Desert soil,Desert,soil,"California, USA"
