contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
TC30_NODE_2_length_2539971_cov_38.752415_fragment_13	18752	Yes	8586	20	3	5	Low-quality	Genome-fragment	11.56	HMM-based (lower-bound)	54.21	1.0	
TC13_NODE_509_length_5513_cov_2.150576	5513	No	NA	8	7	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.02	
TC29_NODE_2_length_2015733_cov_3.617248_fragment_26	42059	No	NA	70	21	1	Low-quality	Genome-fragment	49.67	HMM-based (lower-bound)	0.0	1.0	
TC29_NODE_2_length_2015733_cov_3.617248_fragment_3	10142	No	NA	8	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC29_NODE_2_length_2015733_cov_3.617248_fragment_16	18102	No	NA	30	1	3	Low-quality	Genome-fragment	10.1	HMM-based (lower-bound)	0.0	1.0	
TC29_NODE_2_length_2015733_cov_3.617248_fragment_1	53437	No	NA	70	24	3	Medium-quality	Genome-fragment	83.8	HMM-based (lower-bound)	0.0	1.0	
TC29_NODE_2_length_2015733_cov_3.617248_fragment_14	12300	No	NA	11	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC29_NODE_2_length_2015733_cov_3.617248_fragment_27	20797	Yes	16652	23	4	2	Low-quality	Genome-fragment	14.9	HMM-based (lower-bound)	19.93	1.0	
TC36_NODE_179_length_40445_cov_1.485441_fragment_1	26852	No	NA	41	6	1	Low-quality	Genome-fragment	39.52	HMM-based (lower-bound)	0.0	1.0	
TC7_NODE_432_length_18205_cov_1.408950	18205	Yes	14387	33	5	3	Low-quality	Genome-fragment	12.62	HMM-based (lower-bound)	20.97	1.0	
TC24_NODE_34_length_424314_cov_2.316250_fragment_6	16593	No	NA	21	11	0	Low-quality	Genome-fragment	30.5	HMM-based (lower-bound)	0.0	1.0	
TC31_NODE_2027_length_5137_cov_0.890619	5137	No	NA	6	3	0	Low-quality	Genome-fragment	8.16	HMM-based (lower-bound)	0.0	1.0	
TC16_NODE_18_length_336079_cov_81.060524_fragment_1	18256	No	NA	29	11	0	Low-quality	Genome-fragment	19.49	HMM-based (lower-bound)	0.0	1.0	
TC16_NODE_18_length_336079_cov_81.060524_fragment_8	23026	No	NA	39	16	0	Medium-quality	Genome-fragment	51.11	HMM-based (lower-bound)	0.0	1.0	
TC29_NODE_62_length_374518_cov_18.075963_fragment_6	79910	No	NA	126	34	7	Medium-quality	Genome-fragment	84.84	HMM-based (lower-bound)	0.0	1.0	
TC36_NODE_30_length_339274_cov_2.169696_fragment_2	21736	Yes	15861	28	7	5	Low-quality	Genome-fragment	25.48	HMM-based (lower-bound)	27.03	1.0	
TC5_NODE_19_length_351014_cov_1.745727_fragment_1	14405	No	NA	15	1	1	Low-quality	Genome-fragment	31.69	HMM-based (lower-bound)	0.0	1.0	
TC39_NODE_356_length_33582_cov_1.466687_fragment_1	9864	No	NA	14	3	0	Low-quality	Genome-fragment	4.78	HMM-based (lower-bound)	0.0	1.0	
TC31_NODE_14_length_630909_cov_2.214919_fragment_3	15939	No	NA	18	6	0	Low-quality	Genome-fragment	21.62	HMM-based (lower-bound)	0.0	1.0	
TC23_NODE_280_length_22626_cov_3.223210	22626	No	NA	19	1	4	Low-quality	Genome-fragment	29.64	HMM-based (lower-bound)	0.0	1.01	
TC39_NODE_1055_length_5848_cov_0.709841	5848	No	NA	9	3	0	Low-quality	Genome-fragment	9.56	HMM-based (lower-bound)	0.0	1.0	
TC43_NODE_105_length_128799_cov_19.322906_fragment_1	58668	No	NA	83	33	2	High-quality	High-quality	92.1	HMM-based (lower-bound)	0.0	1.0	
TC31_NODE_1206_length_7247_cov_1.132584	7247	No	NA	8	1	0	Low-quality	Genome-fragment	9.49	HMM-based (lower-bound)	0.0	1.0	
TC42_NODE_259_length_47336_cov_2.494588	47336	No	NA	57	17	4	Medium-quality	Genome-fragment	70.96	HMM-based (lower-bound)	0.0	1.0	
TC43_NODE_29_length_394088_cov_19.543262_fragment_4	49490	No	NA	47	0	14	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC1_NODE_338_length_41068_cov_10.513446	41068	No	NA	56	19	1	Medium-quality	Genome-fragment	80.3	HMM-based (lower-bound)	0.0	1.0	
TC12_NODE_31_length_298929_cov_2.733697_fragment_1	42495	No	NA	59	19	0	Medium-quality	Genome-fragment	64.61	HMM-based (lower-bound)	0.0	1.0	
TC9_NODE_36_length_475522_cov_72.033383_fragment_1	58928	No	NA	68	11	2	Medium-quality	Genome-fragment	88.51	HMM-based (lower-bound)	0.0	1.0	
TC21_NODE_49_length_218453_cov_187.899655_fragment_1	13090	No	NA	9	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC21_NODE_49_length_218453_cov_187.899655_fragment_2	53272	No	NA	62	11	1	Medium-quality	Genome-fragment	88.37	HMM-based (lower-bound)	0.0	1.0	
TC7_NODE_609_length_8493_cov_1.230337	8493	No	NA	12	4	0	Low-quality	Genome-fragment	12.81	HMM-based (lower-bound)	0.0	1.0	
TC41_NODE_126_length_64850_cov_1.873893_fragment_1	12560	No	NA	14	5	0	Low-quality	Genome-fragment	25.41	HMM-based (lower-bound)	0.0	1.0	
TC2_NODE_1380_length_5418_cov_1.051408	5418	No	NA	10	6	0	Low-quality	Genome-fragment	9.1	HMM-based (lower-bound)	0.0	1.0	
TC36_NODE_1293_length_6635_cov_0.883835	6635	No	NA	7	3	0	Low-quality	Genome-fragment	9.8	HMM-based (lower-bound)	0.0	1.0	
TC18_NODE_355_length_6784_cov_1.514196	6784	No	NA	9	1	0	Low-quality	Genome-fragment	12.03	HMM-based (lower-bound)	0.0	1.0	
TC25_k99_10448	31215	No	NA	44	15	0	Low-quality	Genome-fragment	40.38	HMM-based (lower-bound)	0.0	1.0	
TC16_NODE_15_length_389592_cov_33.467000_fragment_1	13019	No	NA	17	10	0	Low-quality	Genome-fragment	17.02	HMM-based (lower-bound)	0.0	1.0	
TC8_NODE_118_length_74115_cov_3458.954087	74115	No	NA	106	11	1	Medium-quality	Genome-fragment	61.49	HMM-based (lower-bound)	0.0	1.0	low-confidence DTR
TC21_NODE_629_length_11536_cov_1.269875	11536	No	NA	15	7	1	Low-quality	Genome-fragment	16.7	HMM-based (lower-bound)	0.0	1.0	
TC5_NODE_42_length_173343_cov_1.925630_fragment_4	17870	No	NA	20	0	8	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC5_NODE_42_length_173343_cov_1.925630_fragment_2	17069	No	NA	27	9	1	Low-quality	Genome-fragment	26.08	HMM-based (lower-bound)	0.0	1.0	
TC19_k99_27847_fragment_5	38060	Yes	15567	39	12	9	Low-quality	Genome-fragment	32.87	HMM-based (lower-bound)	59.1	1.0	
TC19_k99_27847_fragment_2	25409	No	NA	18	1	4	Low-quality	Genome-fragment	13.23	HMM-based (lower-bound)	0.0	1.0	
TC22_k99_19554	12268	No	NA	15	9	0	Low-quality	Genome-fragment	15.73	HMM-based (lower-bound)	0.0	1.0	
TC31_NODE_195_length_37807_cov_6.174443	37807	No	NA	57	18	0	Medium-quality	Genome-fragment	65.13	HMM-based (lower-bound)	0.0	1.01	low-confidence DTR
TC10_NODE_137_length_8663_cov_6.226645	8663	No	NA	11	6	0	Low-quality	Genome-fragment	11.61	HMM-based (lower-bound)	0.0	1.0	
TC25_k99_9116_fragment_1	10728	No	NA	18	1	2	High-quality	High-quality	100.0	HMM-based (lower-bound)	0.0	1.0	
TC40_NODE_8_length_382506_cov_115.987729_fragment_2	91057	No	NA	134	25	2	Medium-quality	Genome-fragment	86.97	HMM-based (lower-bound)	0.0	1.0	
TC22_k99_5978	5893	No	NA	10	5	0	Low-quality	Genome-fragment	3.44	HMM-based (lower-bound)	0.0	1.0	
TC9_NODE_622_length_20530_cov_1.513895	20530	No	NA	25	9	0	Low-quality	Genome-fragment	33.87	HMM-based (lower-bound)	0.0	1.0	
TC10_NODE_3_length_1587167_cov_5.561156_fragment_5	15754	No	NA	23	1	0	Low-quality	Genome-fragment	8.61	HMM-based (lower-bound)	0.0	1.0	
TC10_NODE_3_length_1587167_cov_5.561156_fragment_9	14952	Yes	12321	18	6	2	Low-quality	Genome-fragment	23.92	HMM-based (lower-bound)	17.6	1.0	
TC11_NODE_81_length_177607_cov_2.780341_fragment_1	36236	No	NA	46	7	0	Medium-quality	Genome-fragment	64.44	HMM-based (lower-bound)	0.0	1.0	
TC21_NODE_922_length_8174_cov_6.020380	8174	No	NA	11	1	1	Low-quality	Genome-fragment	11.5	HMM-based (lower-bound)	0.0	1.0	
TC29_NODE_70_length_349779_cov_17.321517_fragment_1	56356	No	NA	91	18	1	Medium-quality	Genome-fragment	74.88	HMM-based (lower-bound)	0.0	1.0	
TC37_NODE_29_length_373789_cov_3.370501_fragment_2	12568	No	NA	11	0	5	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC37_NODE_29_length_373789_cov_3.370501_fragment_4	5464	No	NA	8	2	0	Medium-quality	Genome-fragment	55.47	HMM-based (lower-bound)	0.0	1.0	
TC21_NODE_1285_length_6345_cov_3.962528	6345	No	NA	7	5	0	Low-quality	Genome-fragment	10.56	HMM-based (lower-bound)	0.0	1.0	
TC38_NODE_66_length_66852_cov_1.404361_fragment_1	45209	Yes	37088	53	35	7	Medium-quality	Genome-fragment	60.55	HMM-based (lower-bound)	17.96	1.0	low-confidence Provirus
TC38_NODE_263_length_14327_cov_0.906690	14327	No	NA	15	10	1	Low-quality	Genome-fragment	26.18	HMM-based (lower-bound)	0.0	1.0	
TC21_NODE_84_length_141430_cov_3.900250_fragment_1	12560	No	NA	12	5	0	Low-quality	Genome-fragment	25.41	HMM-based (lower-bound)	0.0	1.0	
TC21_NODE_84_length_141430_cov_3.900250_fragment_3	11364	No	NA	12	4	0	Low-quality	Genome-fragment	9.89	HMM-based (lower-bound)	0.0	1.0	
TC21_NODE_1296_length_6268_cov_1.641915	6268	Yes	3048	9	3	2	Low-quality	Genome-fragment	3.32	HMM-based (lower-bound)	51.37	1.0	
TC44_NODE_23_length_648394_cov_5.577250_fragment_4	13292	No	NA	11	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC44_NODE_23_length_648394_cov_5.577250_fragment_7	23512	Yes	12749	27	8	9	Low-quality	Genome-fragment	18.42	HMM-based (lower-bound)	45.78	1.0	low-confidence Provirus
TC25_k99_10197_fragment_1	47022	No	NA	63	19	2	Medium-quality	Genome-fragment	83.51	HMM-based (lower-bound)	0.0	1.0	
TC20_NODE_5_length_1493068_cov_3.623527_fragment_1	17702	No	NA	28	10	0	Low-quality	Genome-fragment	22.56	HMM-based (lower-bound)	0.0	1.0	
TC42_NODE_51_length_256701_cov_15.389868_fragment_4	31376	No	NA	38	20	0	Low-quality	Genome-fragment	39.26	HMM-based (lower-bound)	0.0	1.0	
TC31_NODE_11_length_673704_cov_3.303627_fragment_1	32543	No	NA	33	1	4	Low-quality	Genome-fragment	42.86	HMM-based (lower-bound)	0.0	1.0	
TC11_NODE_478_length_34249_cov_1.798371	34249	Yes	31087	45	11	2	Medium-quality	Genome-fragment	55.06	HMM-based (lower-bound)	9.23	1.0	
TC39_NODE_17_length_560322_cov_15.182160_fragment_6	63730	No	NA	89	35	2	Medium-quality	Genome-fragment	88.23	HMM-based (lower-bound)	0.0	1.0	
TC39_NODE_17_length_560322_cov_15.182160_fragment_8	40253	No	NA	42	1	5	Medium-quality	Genome-fragment	58.93	HMM-based (lower-bound)	0.0	1.01	
TC2_NODE_222_length_99539_cov_64.537752_fragment_1	39388	No	NA	56	13	0	Medium-quality	Genome-fragment	51.61	HMM-based (lower-bound)	0.0	1.0	
TC28_NODE_16_length_478234_cov_6.417026_fragment_3	43075	Yes	34815	51	15	3	Medium-quality	Genome-fragment	58.6	HMM-based (lower-bound)	19.18	1.0	
TC43_NODE_380_length_5534_cov_2.150915	5534	No	NA	7	3	0	Low-quality	Genome-fragment	5.37	HMM-based (lower-bound)	0.0	1.03	
TC8_NODE_17_length_406625_cov_8.470312_fragment_2	46132	No	NA	66	12	2	Medium-quality	Genome-fragment	77.45	HMM-based (lower-bound)	0.0	1.0	
TC6_NODE_16_length_473899_cov_13.755216_fragment_4	33279	No	NA	39	1	4	Medium-quality	Genome-fragment	66.98	HMM-based (lower-bound)	0.0	1.0	
TC25_k99_4709_fragment_1	9937	No	NA	18	3	1	Low-quality	Genome-fragment	14.09	HMM-based (lower-bound)	0.0	1.01	
TC49_NODE_6_length_646733_cov_70.616468_fragment_7	6378	No	NA	8	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC49_NODE_6_length_646733_cov_70.616468_fragment_9	12725	No	NA	13	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC22_k99_11109	9130	No	NA	11	6	0	Low-quality	Genome-fragment	11.84	HMM-based (lower-bound)	0.0	1.0	
TC1_NODE_41_length_577301_cov_7.965251_fragment_1	38979	No	NA	53	15	0	Medium-quality	Genome-fragment	56.68	HMM-based (lower-bound)	0.0	1.0	
TC26_NODE_621_length_8588_cov_1.341094	8588	No	NA	8	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC29_NODE_56_length_383418_cov_17.951194_fragment_7	30799	Yes	26278	32	7	3	Low-quality	Genome-fragment	22.97	HMM-based (lower-bound)	14.68	1.0	
TC29_NODE_56_length_383418_cov_17.951194_fragment_1	35667	Yes	11778	48	3	10	Low-quality	Genome-fragment	17.34	HMM-based (lower-bound)	66.98	1.0	
TC11_NODE_772_length_18823_cov_1.480317	18823	No	NA	25	14	0	Low-quality	Genome-fragment	23.95	HMM-based (lower-bound)	0.0	1.0	
TC38_NODE_16_length_430220_cov_6.158608_fragment_5	15440	No	NA	22	2	2	Low-quality	Genome-fragment	18.55	HMM-based (lower-bound)	0.0	1.0	
TC38_NODE_16_length_430220_cov_6.158608_fragment_1	7037	Yes	4645	9	1	2	Low-quality	Genome-fragment	7.06	HMM-based (lower-bound)	33.99	1.0	
TC46_NODE_278_length_32779_cov_1.266416_fragment_1	22441	No	NA	13	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC29_NODE_25_length_637024_cov_22.825317_fragment_4	80869	Yes	68897	106	40	9	Medium-quality	Genome-fragment	85.38	HMM-based (lower-bound)	14.8	1.0	
TC29_NODE_25_length_637024_cov_22.825317_fragment_5	13508	No	NA	21	4	1	Low-quality	Genome-fragment	24.95	HMM-based (lower-bound)	0.0	1.0	
TC24_NODE_886_length_7064_cov_0.762577	7064	No	NA	5	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC15_NODE_599_length_21877_cov_21.595908_fragment_2	6219	No	NA	8	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC46_NODE_490_length_18758_cov_2.175085_fragment_1	8663	No	NA	13	3	0	Medium-quality	Genome-fragment	62.95	HMM-based (lower-bound)	0.0	1.0	
TC9_NODE_747_length_17250_cov_2.151259	17250	No	NA	20	8	0	Low-quality	Genome-fragment	22.15	HMM-based (lower-bound)	0.0	1.01	
TC1_NODE_29_length_679208_cov_58.042465_fragment_3	10337	No	NA	11	1	1	Low-quality	Genome-fragment	9.19	HMM-based (lower-bound)	0.0	1.0	
TC14_NODE_1609_length_5094_cov_1.379706	5094	No	NA	7	3	0	Low-quality	Genome-fragment	8.77	HMM-based (lower-bound)	0.0	1.0	
TC2_NODE_1385_length_5400_cov_0.818320	5400	No	NA	12	6	0	Low-quality	Genome-fragment	11.15	HMM-based (lower-bound)	0.0	1.0	
TC17_NODE_236_length_17747_cov_621.388479	17747	No	NA	17	1	1	Low-quality	Genome-fragment	8.61	HMM-based (lower-bound)	0.0	1.01	
TC33_NODE_12_length_777431_cov_34.133165_fragment_4	31533	No	NA	37	17	0	Low-quality	Genome-fragment	47.89	HMM-based (lower-bound)	0.0	1.03	
TC47_NODE_43_length_194831_cov_38.586357_fragment_5	60906	Yes	52750	72	12	6	Medium-quality	Genome-fragment	54.95	HMM-based (lower-bound)	13.39	1.0	
TC43_NODE_34_length_374582_cov_18.948958_fragment_1	79910	No	NA	126	34	7	Medium-quality	Genome-fragment	84.84	HMM-based (lower-bound)	0.0	1.0	
TC39_NODE_494_length_21697_cov_160.038248	21697	No	NA	37	8	2	Low-quality	Genome-fragment	27.84	HMM-based (lower-bound)	0.0	1.0	
TC11_NODE_1061_length_10806_cov_1.353217	10806	No	NA	15	6	1	Low-quality	Genome-fragment	14.02	HMM-based (lower-bound)	0.0	1.0	
TC11_NODE_11_length_500533_cov_12.151295_fragment_4	18467	Yes	15042	22	9	3	Low-quality	Genome-fragment	21.23	HMM-based (lower-bound)	18.55	1.0	
TC11_NODE_11_length_500533_cov_12.151295_fragment_6	55646	Yes	40697	81	21	9	Complete	High-quality	100.0	Provirus (medium-confidence)	26.86	1.0	
TC2_NODE_613_length_17127_cov_1.124941	17127	No	NA	18	4	0	Low-quality	Genome-fragment	24.7	HMM-based (lower-bound)	0.0	1.0	
TC15_NODE_1721_length_5433_cov_0.851300	5433	Yes	4273	8	1	1	Low-quality	Genome-fragment	2.27	HMM-based (lower-bound)	21.35	1.0	
TC29_NODE_105_length_242799_cov_22.456620_fragment_2	69948	Yes	57878	106	21	6	Medium-quality	Genome-fragment	84.85	HMM-based (lower-bound)	17.26	1.0	
TC10_NODE_6_length_827305_cov_6.045555_fragment_3	15581	No	NA	16	8	0	Low-quality	Genome-fragment	26.37	HMM-based (lower-bound)	0.0	1.0	
TC6_NODE_2_length_1190736_cov_102.465352_fragment_5	35966	No	NA	53	23	0	Medium-quality	Genome-fragment	75.76	HMM-based (lower-bound)	0.0	1.0	
TC36_NODE_1246_length_6861_cov_0.987377	6861	Yes	4057	10	4	2	Low-quality	Genome-fragment	4.12	HMM-based (lower-bound)	40.87	1.0	
TC29_NODE_7_length_1672870_cov_23.016597_fragment_13	18752	Yes	8586	20	3	5	Low-quality	Genome-fragment	11.56	HMM-based (lower-bound)	54.21	1.0	
TC29_NODE_7_length_1672870_cov_23.016597_fragment_8	16810	No	NA	20	11	2	Low-quality	Genome-fragment	31.08	HMM-based (lower-bound)	0.0	1.0	
TC31_NODE_16_length_621533_cov_2.524435_fragment_5	35966	No	NA	53	23	0	Medium-quality	Genome-fragment	75.76	HMM-based (lower-bound)	0.0	1.0	
TC31_NODE_16_length_621533_cov_2.524435_fragment_1	64292	No	NA	92	18	2	Medium-quality	Genome-fragment	83.25	HMM-based (lower-bound)	0.0	1.0	
TC5_NODE_164_length_35650_cov_1.820314	35650	No	NA	59	10	6	Medium-quality	Genome-fragment	52.53	HMM-based (lower-bound)	0.0	1.0	
TC21_NODE_71_length_174740_cov_3.156449_fragment_1	57979	Yes	38004	72	11	12	Medium-quality	Genome-fragment	53.24	HMM-based (lower-bound)	34.45	1.0	low-confidence Provirus
TC20_NODE_2_length_2062810_cov_9.598793_fragment_17	20522	No	NA	22	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC20_NODE_2_length_2062810_cov_9.598793_fragment_22	12977	No	NA	17	1	1	Low-quality	Genome-fragment	8.02	HMM-based (lower-bound)	0.0	1.0	
TC20_NODE_2_length_2062810_cov_9.598793_fragment_11	21947	Yes	17003	28	3	4	Low-quality	Genome-fragment	23.46	HMM-based (lower-bound)	22.53	1.0	
TC25_k99_7339	6904	No	NA	5	3	0	Low-quality	Genome-fragment	9.03	HMM-based (lower-bound)	0.0	1.01	
TC20_NODE_135_length_14466_cov_1.040100	14466	No	NA	25	6	0	Low-quality	Genome-fragment	33.65	HMM-based (lower-bound)	0.0	1.0	
TC17_NODE_114_length_35533_cov_1.733915_fragment_1	24084	No	NA	36	6	4	Low-quality	Genome-fragment	27.73	HMM-based (lower-bound)	0.0	1.0	
TC10_NODE_15_length_430127_cov_162.451031_fragment_3	96282	Yes	67906	122	17	14	Medium-quality	Genome-fragment	81.15	HMM-based (lower-bound)	29.47	1.0	
TC15_NODE_1255_length_8109_cov_0.942370	8109	No	NA	10	3	0	Low-quality	Genome-fragment	7.84	HMM-based (lower-bound)	0.0	1.0	
TC29_NODE_3_length_2007253_cov_17.942374_fragment_4	59573	Yes	57408	78	27	4	Medium-quality	Genome-fragment	89.98	HMM-based (lower-bound)	3.63	1.0	
TC29_NODE_3_length_2007253_cov_17.942374_fragment_5	44707	No	NA	66	19	2	Medium-quality	Genome-fragment	57.09	HMM-based (lower-bound)	0.0	1.0	
TC19_k99_36240_fragment_1	21751	Yes	15778	27	11	4	Low-quality	Genome-fragment	20.1	HMM-based (lower-bound)	27.46	1.0	
TC9_NODE_96_length_180047_cov_4.128713_fragment_4	7711	No	NA	10	1	0	Low-quality	Genome-fragment	6.86	HMM-based (lower-bound)	0.0	1.0	
TC44_NODE_1372_length_6917_cov_0.808689	6917	No	NA	10	1	0	Low-quality	Genome-fragment	3.35	HMM-based (lower-bound)	0.0	1.0	
TC44_NODE_802_length_10109_cov_1.260068	10109	No	NA	13	7	0	Low-quality	Genome-fragment	14.49	HMM-based (lower-bound)	0.0	1.0	
TC2_NODE_1210_length_6166_cov_126.720980	6166	No	NA	5	2	0	Low-quality	Genome-fragment	9.07	HMM-based (lower-bound)	0.0	1.0	
TC31_NODE_909_length_8815_cov_1.146984	8815	No	NA	8	3	0	Low-quality	Genome-fragment	15.7	HMM-based (lower-bound)	0.0	1.0	
TC7_NODE_41_length_303396_cov_4.075969_fragment_1	13019	No	NA	17	10	0	Low-quality	Genome-fragment	17.02	HMM-based (lower-bound)	0.0	1.0	
TC36_NODE_45_length_232469_cov_7.710083_fragment_4	44066	Yes	32218	65	25	4	Medium-quality	Genome-fragment	66.62	HMM-based (lower-bound)	26.89	1.0	
TC10_NODE_155_length_6775_cov_0.951157	6775	No	NA	8	6	0	Low-quality	Genome-fragment	15.33	HMM-based (lower-bound)	0.0	1.0	
TC14_NODE_940_length_10295_cov_1.303108	10295	No	NA	13	9	0	Low-quality	Genome-fragment	14.01	HMM-based (lower-bound)	0.0	1.0	
TC25_k99_8152_fragment_1	31595	Yes	29930	47	17	2	Medium-quality	Genome-fragment	62.62	HMM-based (lower-bound)	5.27	1.0	
TC50_NODE_14_length_229535_cov_3.713253_fragment_3	44048	No	NA	50	26	0	High-quality	High-quality	93.49	HMM-based (lower-bound)	0.0	1.0	
TC39_NODE_513_length_20992_cov_111.629954	20992	No	NA	28	11	0	Low-quality	Genome-fragment	26.62	HMM-based (lower-bound)	0.0	1.0	
TC16_NODE_19_length_312191_cov_19.359852_fragment_2	44233	No	NA	50	12	2	Medium-quality	Genome-fragment	59.22	HMM-based (lower-bound)	0.0	1.0	
TC16_NODE_19_length_312191_cov_19.359852_fragment_3	12922	No	NA	16	9	0	Low-quality	Genome-fragment	16.9	HMM-based (lower-bound)	0.0	1.0	
TC24_NODE_13_length_775049_cov_10.842307_fragment_8	57782	Yes	33747	75	13	14	Low-quality	Genome-fragment	41.96	HMM-based (lower-bound)	41.6	1.0	
TC24_NODE_13_length_775049_cov_10.842307_fragment_1	49734	Yes	45225	75	20	3	Medium-quality	Genome-fragment	70.19	HMM-based (lower-bound)	9.07	1.0	
TC39_NODE_114_length_95379_cov_1.573269_fragment_2	39537	No	NA	59	23	2	Medium-quality	Genome-fragment	61.52	HMM-based (lower-bound)	0.0	1.0	
TC21_NODE_400_length_20824_cov_5.041359	20824	No	NA	31	14	1	Low-quality	Genome-fragment	32.77	HMM-based (lower-bound)	0.0	1.0	
TC36_NODE_92_length_110352_cov_3.862173_fragment_1	13647	Yes	10096	17	5	3	Low-quality	Genome-fragment	10.82	HMM-based (lower-bound)	26.02	1.0	
TC29_NODE_12_length_976053_cov_17.804172_fragment_16	71859	Yes	42261	66	3	8	Low-quality	Genome-fragment	45.44	HMM-based (lower-bound)	41.19	1.04	
TC29_NODE_12_length_976053_cov_17.804172_fragment_13	48021	Yes	22392	54	2	10	Low-quality	Genome-fragment	12.82	HMM-based (lower-bound)	53.37	1.0	low-confidence Provirus
TC29_NODE_12_length_976053_cov_17.804172_fragment_9	28026	No	NA	24	0	7	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC29_NODE_12_length_976053_cov_17.804172_fragment_8	21558	No	NA	19	1	1	Low-quality	Genome-fragment	14.9	HMM-based (lower-bound)	0.0	1.0	
TC12_NODE_244_length_31209_cov_39.813365	31209	No	NA	30	7	0	Low-quality	Genome-fragment	27.8	HMM-based (lower-bound)	0.0	1.0	
TC11_NODE_22_length_385827_cov_11.069865_fragment_1	14477	No	NA	27	2	3	High-quality	High-quality	100.0	HMM-based (lower-bound)	0.0	1.69	high kmer_freq may indicate large duplication
TC18_NODE_314_length_7318_cov_1.233347	7318	No	NA	13	2	0	Low-quality	Genome-fragment	9.16	HMM-based (lower-bound)	0.0	1.0	
TC29_NODE_165_length_145730_cov_6.270455_fragment_1	46942	Yes	40610	63	28	4	Complete	High-quality	100.0	Provirus (medium-confidence)	13.49	1.0	
TC13_NODE_131_length_32190_cov_1.431401_fragment_1	23621	No	NA	36	17	0	Low-quality	Genome-fragment	43.47	HMM-based (lower-bound)	0.0	1.0	
TC14_NODE_143_length_70753_cov_1.591963_fragment_2	37465	No	NA	65	27	0	Medium-quality	Genome-fragment	56.02	HMM-based (lower-bound)	0.0	1.0	
TC1_NODE_16_length_1054541_cov_7.646558_fragment_8	7879	No	NA	8	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC1_NODE_16_length_1054541_cov_7.646558_fragment_2	33444	Yes	18341	38	11	7	Low-quality	Genome-fragment	33.91	HMM-based (lower-bound)	45.16	1.0	
TC38_NODE_91_length_43616_cov_15.600428	43616	Yes	36281	53	11	4	Medium-quality	Genome-fragment	54.76	HMM-based (lower-bound)	16.82	1.03	
TC23_NODE_26_length_409670_cov_6.281934_fragment_4	11947	No	NA	15	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC23_NODE_26_length_409670_cov_6.281934_fragment_3	40082	No	NA	55	14	2	Medium-quality	Genome-fragment	62.15	HMM-based (lower-bound)	0.0	1.02	
TC13_NODE_21_length_324279_cov_10.978198_fragment_2	45163	No	NA	54	26	0	High-quality	High-quality	93.98	HMM-based (lower-bound)	0.0	1.0	
TC11_NODE_424_length_40160_cov_12.293758	40160	No	NA	70	26	0	Medium-quality	Genome-fragment	75.14	HMM-based (lower-bound)	0.0	1.0	low-confidence DTR
TC10_NODE_31_length_224460_cov_162.784317_fragment_3	55391	Yes	26140	63	8	12	Low-quality	Genome-fragment	49.94	HMM-based (lower-bound)	52.81	1.01	
TC47_NODE_7_length_713845_cov_10.389930_fragment_7	21635	No	NA	26	11	5	Low-quality	Genome-fragment	39.77	HMM-based (lower-bound)	0.0	1.0	
TC47_NODE_7_length_713845_cov_10.389930_fragment_11	9933	No	NA	8	0	6	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC21_NODE_306_length_31271_cov_30.025944	31271	No	NA	45	15	0	Low-quality	Genome-fragment	40.45	HMM-based (lower-bound)	0.0	1.0	
TC7_NODE_4_length_778944_cov_6.565113_fragment_7	21298	No	NA	19	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC7_NODE_4_length_778944_cov_6.565113_fragment_1	31058	No	NA	50	21	0	Low-quality	Genome-fragment	34.96	HMM-based (lower-bound)	0.0	1.0	
TC7_NODE_4_length_778944_cov_6.565113_fragment_6	11870	No	NA	16	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
